prompt_id,prompt
0,"Coarse sandstone texture with warm earthy tones"
1,"Glossy marble texture with dark veins on white"
2,"Rusty metal texture with scratches and weathering"
3,"Smooth silk fabric texture in deep crimson"
4,"Weathered wood texture with visible grain and knots"
5,"Cracked mud texture with dry, uneven patches"
6,"Moss-covered stone texture with moist green patches"
7,"Polished leather texture in dark brown with natural creases"
8,"Rough burlap fabric texture with interwoven fibers"
9,"Soft wool texture in pastel shades of blue and pink"
10,"Abstract ice texture with crystalline details and cool tones"
11,"Brick wall texture with faded red bricks and mortar"
12,"Gravel texture with small, irregular pebbles in mixed colors"
13,"Glossy ceramic tile texture with a reflective surface"
14,"Fine sandpaper texture with gritty, grainy surface"
